league,season,match_id,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,win_prob,draw_prob,away_win_prob
EPL,2023,22038,2023-12-06 19:30:00,Fulham,Nottingham Forest,5,0,3.09427,0.218659,0.9769,0.0204,0.0027
EPL,2023,22040,2023-12-06 19:30:00,Sheffield United,Liverpool,0,2,0.834172,1.80116,0.1397,0.234,0.6263
EPL,2023,22043,2023-12-06 19:30:00,Crystal Palace,Bournemouth,0,2,1.26441,1.79997,0.2221,0.2553,0.5226
EPL,2023,22035,2023-12-06 20:15:00,Aston Villa,Manchester City,1,0,2.1922,1.00198,0.6881,0.2247,0.0872
EPL,2023,22044,2023-12-06 20:15:00,Manchester United,Chelsea,2,1,4.03949,2.3512,0.7338,0.1466,0.1196
EPL,2023,22037,2023-12-07 19:30:00,Everton,Newcastle United,3,0,2.95393,1.29564,0.7544,0.1534,0.0922
EPL,2023,22041,2023-12-07 20:15:00,Tottenham,West Ham,1,2,1.61268,1.7409,0.3319,0.2535,0.4146
EPL,2023,22047,2023-12-09 12:30:00,Crystal Palace,Liverpool,1,2,1.79152,1.3708,0.4846,0.276,0.2394
EPL,2023,22046,2023-12-09 15:00:00,Brighton,Burnley,1,1,2.96247,1.05162,0.8189,0.1267,0.0544
EPL,2023,22051,2023-12-09 15:00:00,Manchester United,Bournemouth,0,3,1.11296,1.9742,0.1539,0.2242,0.6219
EPL,2023,22052,2023-12-09 15:00:00,Sheffield United,Brentford,1,0,0.841976,0.644638,0.3909,0.3656,0.2435
EPL,2023,22054,2023-12-09 15:00:00,Wolverhampton Wanderers,Nottingham Forest,1,1,1.02199,1.21801,0.2745,0.3237,0.4018
EPL,2023,22045,2023-12-09 17:30:00,Aston Villa,Arsenal,1,0,0.628499,1.71667,0.0978,0.2163,0.6859
EPL,2023,22048,2023-12-10 14:00:00,Everton,Chelsea,2,0,1.11437,0.885512,0.4245,0.3286,0.2469
EPL,2023,22049,2023-12-10 14:00:00,Fulham,West Ham,5,0,2.1884,0.983,0.6859,0.1905,0.1236
EPL,2023,22050,2023-12-10 14:00:00,Luton,Manchester City,1,2,0.689037,2.23353,0.054,0.178,0.768
EPL,2023,22053,2023-12-10 16:30:00,Tottenham,Newcastle United,4,1,4.40118,1.61368,0.8961,0.0703,0.0336
EPL,2023,22063,2023-12-15 20:00:00,Nottingham Forest,Tottenham,0,2,1.70569,1.60738,0.3911,0.2583,0.3506
EPL,2023,22059,2023-12-16 15:00:00,Chelsea,Sheffield United,2,0,3.27322,0.44014,0.9605,0.0315,0.008
EPL,2023,22061,2023-12-16 15:00:00,Manchester City,Crystal Palace,2,2,2.41646,1.64977,0.5547,0.2489,0.1964
EPL,2023,22062,2023-12-16 15:00:00,Newcastle United,Fulham,3,0,4.27933,0.471042,0.99,0.0089,0.0011
EPL,2023,22058,2023-12-16 17:30:00,Burnley,Everton,0,2,0.811435,2.22305,0.082,0.1611,0.7569
EPL,2023,22056,2023-12-17 14:00:00,Arsenal,Brighton,2,0,2.76976,0.663054,0.8439,0.1165,0.0396
EPL,2023,22057,2023-12-17 14:00:00,Brentford,Aston Villa,1,2,0.796812,1.4664,0.1774,0.2816,0.541
EPL,2023,22064,2023-12-17 14:00:00,West Ham,Wolverhampton Wanderers,3,0,1.03828,0.556206,0.4864,0.3306,0.183
EPL,2023,22060,2023-12-17 16:30:00,Liverpool,Manchester United,0,0,1.97111,0.632715,0.7148,0.1924,0.0928
EPL,2023,22066,2023-12-21 20:00:00,Crystal Palace,Brighton,1,1,1.65409,1.33653,0.455,0.2631,0.2819
EPL,2023,22065,2023-12-22 20:00:00,Aston Villa,Sheffield United,1,1,1.21861,0.646159,0.5001,0.3312,0.1687
EPL,2023,22072,2023-12-23 12:30:00,West Ham,Manchester United,2,0,1.51468,0.730496,0.5925,0.2598,0.1477
EPL,2023,22067,2023-12-23 15:00:00,Fulham,Burnley,0,2,1.38096,0.41714,0.6363,0.2621,0.1016
EPL,2023,22069,2023-12-23 15:00:00,Luton,Newcastle United,1,0,1.81844,1.41488,0.4862,0.2508,0.263
EPL,2023,22070,2023-12-23 15:00:00,Nottingham Forest,Bournemouth,2,3,0.791806,1.89067,0.1303,0.2073,0.6624
EPL,2023,22071,2023-12-23 15:00:00,Tottenham,Everton,2,1,1.57527,1.98385,0.2879,0.2354,0.4767
EPL,2023,22068,2023-12-23 17:30:00,Liverpool,Arsenal,1,1,0.982901,0.851681,0.377,0.3338,0.2892
EPL,2023,22073,2023-12-24 13:00:00,Wolverhampton Wanderers,Chelsea,2,1,1.74626,1.75447,0.3603,0.2626,0.3771
EPL,2023,22083,2023-12-26 12:30:00,Newcastle United,Nottingham Forest,1,3,2.79106,3.1074,0.3064,0.2328,0.4608
EPL,2023,22075,2023-12-26 15:00:00,Bournemouth,Fulham,3,0,2.07911,0.324365,0.8555,0.1194,0.0251
EPL,2023,22084,2023-12-26 15:00:00,Sheffield United,Luton,2,3,3.61788,0.715575,0.9422,0.044,0.0138
EPL,2023,22079,2023-12-26 17:30:00,Burnley,Liverpool,0,2,0.972389,1.68451,0.1994,0.2625,0.5381
EPL,2023,22082,2023-12-26 20:00:00,Manchester United,Aston Villa,3,2,1.20104,1.83637,0.1985,0.2573,0.5442
EPL,2023,22077,2023-12-27 19:30:00,Brentford,Wolverhampton Wanderers,1,4,2.59347,1.89483,0.5428,0.2254,0.2318
EPL,2023,22080,2023-12-27 19:30:00,Chelsea,Crystal Palace,2,1,2.73005,0.958077,0.8078,0.135,0.0572
EPL,2023,22081,2023-12-27 20:15:00,Everton,Manchester City,1,3,1.23529,2.28321,0.1381,0.2182,0.6437
EPL,2023,22078,2023-12-28 19:30:00,Brighton,Tottenham,4,2,3.84702,2.06955,0.767,0.1299,0.1031
EPL,2023,22076,2023-12-28 20:15:00,Arsenal,West Ham,0,2,2.7884,1.59711,0.6535,0.2038,0.1427
EPL,2023,22089,2023-12-30 12:30:00,Luton,Chelsea,2,3,2.64093,1.57463,0.6595,0.2081,0.1324
EPL,2023,22085,2023-12-30 15:00:00,Aston Villa,Burnley,3,2,2.92587,1.11923,0.8066,0.131,0.0624
EPL,2023,22086,2023-12-30 15:00:00,Crystal Palace,Brentford,3,1,1.61057,1.28731,0.4365,0.2865,0.277
EPL,2023,22090,2023-12-30 15:00:00,Manchester City,Sheffield United,2,0,2.24229,0.263211,0.9141,0.0761,0.0098
EPL,2023,22094,2023-12-30 15:00:00,Wolverhampton Wanderers,Everton,3,0,2.64477,0.519641,0.916,0.0694,0.0146
EPL,2023,22091,2023-12-30 17:30:00,Nottingham Forest,Manchester United,2,1,0.744348,0.651905,0.3432,0.3817,0.2751
EPL,2023,22087,2023-12-31 14:00:00,Fulham,Arsenal,2,1,1.52829,1.6591,0.3212,0.286,0.3928
EPL,2023,22092,2023-12-31 14:00:00,Tottenham,Bournemouth,3,1,2.15027,1.58229,0.5177,0.2287,0.2536
EPL,2023,22088,2024-01-01 19:00:00,Liverpool,Newcastle United,4,2,6.67151,0.910974,0.9981,0.0015,0.0004
EPL,2023,22093,2024-01-02 18:30:00,West Ham,Brighton,0,0,0.9831,2.1552,0.1215,0.2187,0.6598
EPL,2023,22096,2024-01-12 19:45:00,Burnley,Luton,1,1,1.52023,0.965167,0.514,0.2735,0.2125
EPL,2023,22097,2024-01-13 12:30:00,Chelsea,Fulham,1,0,2.0456,0.697847,0.7466,0.1756,0.0778
EPL,2023,22100,2024-01-13 17:30:00,Newcastle United,Manchester City,2,3,1.23638,2.55452,0.1202,0.1796,0.7002
EPL,2023,22098,2024-01-14 14:00:00,Everton,Aston Villa,0,0,1.03664,1.3435,0.2719,0.3045,0.4236
EPL,2023,22099,2024-01-14 16:30:00,Manchester United,Tottenham,2,2,0.923233,1.31224,0.2351,0.3057,0.4592
EPL,2023,22103,2024-01-20 12:30:00,Arsenal,Crystal Palace,5,0,3.52167,0.288083,0.967,0.029,0.004
EPL,2023,22104,2024-01-20 17:30:00,Brentford,Nottingham Forest,3,2,1.94219,1.22251,0.5612,0.2428,0.196
EPL,2023,22101,2024-01-21 14:00:00,Sheffield United,West Ham,2,2,2.61362,2.4241,0.4271,0.2342,0.3387
EPL,2023,22102,2024-01-21 16:30:00,Bournemouth,Liverpool,0,4,0.834585,1.53344,0.1701,0.2667,0.5632
EPL,2023,22095,2024-01-22 19:45:00,Brighton,Wolverhampton Wanderers,0,0,1.3701,1.14116,0.3979,0.3324,0.2697
EPL,2023,22108,2024-01-30 19:30:00,Nottingham Forest,Arsenal,1,2,0.631618,1.39143,0.1572,0.2831,0.5597
EPL,2023,22106,2024-01-30 19:45:00,Fulham,Everton,0,0,2.37499,2.83317,0.308,0.2134,0.4786
EPL,2023,22107,2024-01-30 19:45:00,Luton,Brighton,4,0,3.63312,1.01366,0.9284,0.0547,0.0169
EPL,2023,22112,2024-01-30 20:00:00,Crystal Palace,Sheffield United,3,2,1.1601,0.768467,0.4684,0.3204,0.2112
EPL,2023,22105,2024-01-30 20:15:00,Aston Villa,Newcastle United,1,3,1.44485,3.3224,0.0747,0.1228,0.8025
EPL,2023,22109,2024-01-31 19:30:00,Tottenham,Brentford,3,2,3.36194,1.59637,0.7778,0.1393,0.0829
